,OCR Text,Ground Truth,Lexical Correction
120,"I wish I conld afford to give her to yo, miss,'' replied Ginger; ``yon should have her, and welcomo.","“I wish I could afford to give her to you, miss,” replied Ginger; “you should have her, and welcome.","I wish I conld afford to give her to yo, miss,'' replied Ginger; ``yon should have her, and welcome."
121,I will be gone.,I will be gone.,I will be gone.
122,"Am I deceied, or is this real 7'"" 4 Yon are not deceiei, my son,'' replied the old man.","Am I deceived, or is this real?” “You are not deceived, my son,” replied the old man.","Am I deceived, or is this real 7'"" 4 Yon are not deceive, my son,'' replied the old man."
123,"But you know, sir,'' he added, touching his forehend, `` you have been a little wrong here, and your memory and reason are not of the clearest.'' Wuere does my grandsire dwell '' asked Auriol.","But you know, sir,” he added, touching his forehead, “you have been a little wrong here, and your memory and reason are not of the clearest.” “Where does my grandsire dwell?” asked Auriol.","But you know, sir,'' he added, touching his forehead, `` you have been a little wrong here, and your memory and reason are not of the clearest.'' Wuere does my grandson dwell '' asked Auriol."
124,"e ain't a-goin' below, oh t Bat withont paying any attention to the inquiry, Reek quitted the room, and closed the door carefully after him.","“Ve ain’t a-goin’ below, eh?” But without paying any attention to the inquiry, Reeks quitted the room, and closed the door carefully after him.","e ain't a-goin' below, oh t Bat withont paying any attention to the inquiry, Reek quitted the room, and closed the door carefully after him."
125,"I have,'' replied the little old man.","“I have,” replied the little old man.","I have,'' replied the little old man."
126,"Nothing occurred during the morning to give him uneasiness, and he gare orders that a carriage and four should bo reaiy an honr before midnight, to conrey him and his brida to Richmond, whoere they were to spend their honeymoon.","Nothing occurred during the morning to give him uneasiness, and he gave orders that a carriage and four should be ready an hour before midnight, to convey him and his bride to Richmond, where they were to spend their honeymoon.","Nothing occurred during the morning to give him uneasiness, and he gare orders that a carriage and four should bo ready an hour before midnight, to convey him and his bride to Richmond, where they were to spend their honeymoon."
127,"Doctor Lamb then applied himsolf to his task with reneved ardour, and in a few seconds became wlolly inscnsible of the presence of a stranger.","Doctor Lamb then applied himself to his task with renewed ardour, and in a few seconds became wholly insensible of the presence of a stranger.","Doctor Lamb then applied himsolf to his task with renewed ardour, and in a few seconds became wholly insensible of the presence of a stranger."
128,"He began to cast handloes aof knives nnd forks in brass, giving it out that they were made from the metal of the statue.","He began to cast handles of knives and forks in brass, giving it out that they were made from the metal of the statue.","He began to cast handlock and knives nnd forks in brass, giving it out that they were made from the metal of the statue."
129,"Glancing at kis watch, and finding it wnted nearly three-quarters of an hour of tha time appointed for his meeting with the mysterions stranger, he struck across the Park, in the direction of the Serpentine Rier.","Glancing at his watch, and finding it wanted nearly three-quarters of an hour of the time appointed for his meeting with the mysterious stranger, he struck across the park, in the direction of the Serpentine River.","Glancing at kis watch, and finding it was nearly three-quarters of an hour of tha time appointed for his meeting with the mysterious stranger, he struck across the Park, in the direction of the Serpentine Rier."
130,"Hero, givre us a glass, Ginger 1' Vith pleasure,'' replied Ginger, filling a goblet to the brim, and handing it to him.","“Here, give us a glass, Ginger!” “Vith pleasure,” replied Ginger, filling a goblet to the brim, and handing it to him.","Hero, give us a glass, Ginger 1' Vith pleasure,'' replied Ginger, filling a goblet to the brim, and handing it to him."
131,"at do you want, my littlo friend, eh7'' said th bnrber.","“What do you want, my little friend, eh?” said the barber.","at do you want, my littlo friend, eh7'' said th barber."
132,"Ginger-that's my namc, miss.","Ginger—that’s my name, miss.","Ginger-that's my name, miss."
133,"TI not believe it-even from your lips.'' 4 Wonld it were not sol-bnt it is, alasl","I’ll not believe it—even from your lips.” “Would it were not so!—but it is, alas!","TI not believe it-even from your lips.'' 4 Wonld it were not sol-bnt it is, alas"
134,"I wonder where that trap leads to 2'' Into the vault beneath, no doubt,'' replied Auriol.","I wonder where that trap leads to?” “Into the vault beneath, no doubt,” replied Auriol.","I wonder where that trap leads to 2'' Into the vault beneath, no doubt,'' replied Auriol."
135," see, the key is in the laock.","And see, the key is in the lock."," see, the key is in the lock."
136,"Tha chief furniture consisted of three large high-backed and grotesquely-carved arm-chairs, near one of which stood a powerful electrical machine.","The chief furniture consisted of three large high-backed and grotesquely-carved arm-chairs, near one of which stood a powerful electrical machine.","Tha chief furniture consisted of three large high-backed and grotesquely-carved arm-chairs, near one of which stood a powerful electrical machine."
137,"``And you want as place l'' demanded the sour-looking gentleman, eyeing him nurrowly.","“And you want a place?” demanded the sour-looking gentleman, eyeing him narrowly.","``And you want as place l'' demanded the sour-looking gentleman, eyeing him narrowly."
138,et Bnt his chief aim was to produce the Elixir of Long Life.,“But his chief aim was to produce the elixir of long life.,et Bnt his chief aim was to produce the Elixir of Long Life.
139,"But there's dog-fanciers in France, ain't thore 7'' asked tho Sandman.","“But there’s dog-fanciers in France, ain’t there?” asked the Sandman.","But there's dog-fanciers in France, ain't thore 7'' asked tho Sandman."
140,"e Of some accident befalling you, which might hare interfered with our happiness, sir,'' replied Ariol.","“Of some accident befalling you, which might have interfered with our happiness, sir,” replied Auriol.","e Of some accident befalling you, which might hare interfered with our happiness, sir,'' replied Ariol."
141,What's that2'' he cried.,What’s that?” he cried.,What's that2'' he cried.
142,"During the whole of this strange scene, he had stood with the bottle in hand, transfixed with terror and astonishment, and wholly unable to moe or cry out.","During the whole of this strange scene, he had stood with the bottle in hand, transfixed with terror and astonishment, and wholly unable to move or cry out.","During the whole of this strange scene, he had stood with the bottle in hand, transfixed with terror and astonishment, and wholly unable to move or cry out."
143,"In a few days it will bc at an end; and if yon renew it not, you will c","In a few days it will be at an end; and if you renew it not, you will incur the penalty, and you know it to be terrible.","In a few days it will bc at an end; and if yon renew it not, you will c"
144,"I have nothing left to tie mo to life,'' I would hae the miseruable lie,'' said Rougemont, withl a diabolical lugh.","I have nothing left to tie me to life.” “I would have the miserable live,” said Rougemont, with a diabolical laugh.","I have nothing left to tie mo to life,'' I would hae the miserable lie,'' said Rougemont, with a diabolical lugh."
145,"Quite within your rench, if you cloose to apply.","Quite within your reach, if you choose to apply.","Quite within your reach, if you choose to apply."
146,"e Now, Auriol, you can hare no more apprehensions. `Apprehensions of what t'' cried Mr.","“Now, Auriol, you can have no more apprehensions.” “Apprehensions of what?” cried Mr.","e Now, Auriol, you can hare no more apprehensions. `Apprehensions of what t'' cried Mr."
147,"At the same time, the occnpanta of the chairs received a sharp electrical shock, that agitated every limb, and caused Mr.","At the same time, the occupants of the chairs received a sharp electrical shock, that agitated every limb, and caused Mr.","At the same time, the occupants of the chairs received a sharp electrical shock, that agitated every limb, and caused Mr."
148,Tis was their destination.,This was their destination.,Tis was their destination.
149,? Take care and keep near me.,“Take care and keep near me.,? Take care and keep near me.
150,"On recovrering, all wns till.","On recovering, all was still.","On recovering, all was till."
151,", As 1I said to you this mornin', Mr."," “As I said to you this mornin’, Mr.",", As 1I said to you this morning', Mr."
152,"I don't know the villain's namo,'' rejoined the dwarf, bnt he's a very tall, dark man, and is generally wrapped in a long black cloak.'' a l'' exclaimed Auriol.","“I don’t know the villain’s name,” rejoined the dwarf, “but he’s a very tall, dark man, and is generally wrapped in a long black cloak.” “Ha!” exclaimed Auriol.","I don't know the villain's name,'' rejoined the dwarf, bnt he's a very tall, dark man, and is generally wrapped in a long black cloak.'' a l'' exclaimed Auriol."
153,"When I recoered, I found all tranquil.","When I recovered, I found all tranquil.","When I recovered, I found all tranquil."
154,"I shall finish the bottle, and neer be the vorse for it1 He's gettin' svipy,'' said tha Tinler","I shall finish the bottle, and never be the vorse for it!” “He’s gettin’ svipy,” said the Tinker.","I shall finish the bottle, and neer be the horse for it1 He's gettin' stripy,'' said tha Tinler"
155,"oh, Heaen I'' exelaimed Auriol.","oh, Heaven!” exclaimed Auriol.","oh, Heaen I'' exclaimed Auriol."
156,"What is it?"" Vy, it's relative to yor age,'' rejoinel the Tinker.","“What is it?” “Vy, it’s relative to your age,” rejoined the Tinker.","What is it?"" Vy, it's relative to your age,'' rejoined the Tinker."
157,ITm tho only honest man in the dog-fancyin' line.,I’m the only honest man in the dog-fancyin’ line.,ITm tho only honest man in the dog-fancyin' line.
158,I-Dr. Lamb's grandson 1'' cried Auriol.,I—Doctor Lamb’s grandson!” cried Auriol.,I-Dr. Lamb's grandson 1'' cried Auriol.
159,Ask Mr.,Ask Mr.,Ask Mr.
160,onr its contents domn my throat-quickI,Pour its contents down my throat—quick!,onr its contents down my throat-quickI
161,It was a great disappointment.,It was a great disappointment.,It was a great disappointment.
162,"too trae,'' rcplied Thorneycroft, mournfully.","too true,” replied Thorneycroft mournfully.","too true,'' replied Thorneycroft, mournfully."
163,"Auriol became impatient for the appearanco of his keeper, but honr after hour passed and he did not arrie.","Auriol became impatient for the appearance of his keeper, but hour after hour passed and he did not arrive.","Auriol became impatient for the appearance of his keeper, but hour after hour passed and he did not arrive."
164,"They are yours, togetler with the house,'' eried Rougemont, `` if you will but sign a compact 1I'' cried Auriol, regarding im with a look of undefinable terror.","“They are yours, together with the house,” cried Rougemont, “if you will but sign a compact with me.” “A compact!” cried Auriol, regarding him with a look of undefinable terror.","They are yours, together with the house,'' eried Rougemont, `` if you will but sign a compact 1I'' cried Auriol, regarding im with a look of undefinable terror."
165,"Vell, the dog is lost.","Vell, the dog is lost.","Vell, the dog is lost."
166,Yon seem paler-eh 7,You seem paler—eh?,Yon seem paler-eh 7
167,What has happened to her ?'' dcmanded Reeks.,“What has happened to her?” demanded Reeks.,What has happened to her ?'' demanded Reeks.
168,But let us aoid those persons.'' In another moment they were at the door.,But let us avoid those persons.” In another moment they were at the door.,But let us avoid those persons.'' In another moment they were at the door.
169,", Yon thonght to delude me,'' said Rongemont, in a dcep whisper, audible only to Auriol; ``but you counted withont your host."," “You thought to delude me,” said Rougemont, in a deep whisper, audible only to Auriol; “but you counted without your host.",", Yon thought to delude me,'' said Rongemont, in a deep whisper, audible only to Auriol; ``but you counted withont your host."
170,Prcetty dcar.-pretty lea' reiterated the magpic.,“Pretty dear!—pretty dear!” reiterated the magpie.,Prcetty scar.-pretty lea' reiterated the magpie.
171,"The whole was surmounted by an immense entilator, stuck on the end of ARIoL. an iron rod, ascending, like a lightning-conductor, from tha steam-engine pump.","The whole was surmounted by an immense ventilator, stuck on the end of an iron rod, ascending, like a lightning-conductor, from the steam-engine pump.","The whole was surmounted by an immense ventilator, stuck on the end of ARIoL. an iron rod, ascending, like a lightning-conductor, from tha steam-engine pump."
172,I expected you some days ago.,I expected you some days ago.,I expected you some days ago.
173,"I am comae to claim my ictim,'' 1sa t i s ettet re, tet ra tblo ae.","I am come to claim my victim.” “What is the matter with you, that you tremble so, dear Auriol?” cried Edith.","I am comae to claim my victim,'' 1sa t i s petted re, tet ra blok ab."
174,"IIaggard fcatures, stamped deeply with the characterse of crime and , debauehery; fierce, restless eyes; beards of several days' growth; wild, unkempt hesds of hair, formod their chief personal charaeteristics; whilo sordid and ragged clothes; shoes without soles; and old hats withiont crown, -.nstitated the sum of their apparel, ARIOL.","Haggard features, stamped deeply with the characters of crime and debauchery; fierce, restless eyes; beards of several days’ growth; wild, unkempt heads of hair, formed their chief personal characteristics; while sordid and ragged clothes, shoes without soles, and old hats without crowns, constituted the sum of their apparel.","IIaggard features, stamped deeply with the characters of crime and , debauchery; fierce, restless eyes; beards of several days' growth; wild, unkempt heads of hair, formed their chief personal characteristics; while sordid and ragged clothes; shoes without soles; and old hats without crown, -.nstitated the sum of their apparel, ARIOL."
175,"Vell, the moment I spies it, I unties my apron, wlips up the dog, and eorers it up in a trice.","Vell, the moment I spies it, I unties my apron, whips up the dog, and covers it up in a trice.","Vell, the moment I spies it, I unties my apron, clips up the dog, and wraps it up in a trice."
176,"Yon see how ineffectnual your weapons are,'' ssid Rongemont, with a derisive langh.","“You see how ineffectual your weapons are,” said Rougemont, with a derisive laugh.","Yon see how ineffectual your weapons are,'' ssid Rongemont, with a derisive laugh."
177,"The baffled marauder looked round, and remarking the open winlow at which bDoctor Lnmb was stationed, hurledl the sacek and its contents tlrough it.","The baffled marauder looked round, and remarking the open window at which Doctor Lamb was stationed, hurled the sack and its contents through it.","The baffled marauder looked round, and remarking the open window at which doctor Lnmb was stationed, hurled the sack and its contents through it."
178,The morning psssed in other preparations.,The morning passed in other preparations.,The morning passed in other preparations.
179,IIis love of play and his assion for lith Talbot shall bo the means by which I will ork.,His love of play and his passion for Edith Talbot shall be the means by which I will work.,IIis love of play and his passion for lithe Talbot shall bo the means by which I will work.
180,Saved-saved 1'' shrieked Darcy.,“Saved—saved!” shrieked Darcy.,Saved-saved 1'' shrieked Darcy.
181,"Whle listening to this clamour, Auriol gazed at the popnlous and picturesgue city stretched out before him, and bathed in the moonlight.","While listening to this clamour, Auriol gazed at the populous and picturesque city stretched out before him, and bathed in the moonlight.","Whle listening to this clamour, Auriol gazed at the populous and picturesque city stretched out before him, and bathed in the moonlight."
182,ee What if it be poison yon hae now confected?,“What if it be poison you have now confected?,ee What if it be poison yon hae now infected?
183,You will witncss its effect anon.,You will witness its effect anon.,You will witness its effect anon.
184,"There's no difficulty in that,'' rejoined Ginger.","“There’s no difficulty in that,” rejoined Ginger.","There's no difficulty in that,'' rejoined Ginger."
185,I dessay Mr.,I dessay Mr.,I essay Mr.
186,Bring the poor oung gentleman along.'' Preceled by Mr.,Bring the poor young gentleman along.” Preceded by Mr.,Bring the poor young gentleman along.'' Preceled by Mr.
187,"Tho hall, which they were obliged to cross, and which they enterel from a side-door, was spacious and boautifully proportioned, and adorned with nnmerous statnes on pedestals,","The hall, which they were obliged to cross, and which they entered from a side-door, was spacious and beautifully proportioned, and adorned with numerous statues on pedestals.","Tho hall, which they were obliged to cross, and which they entered from a side-door, was spacious and beautifully proportioned, and adorned with numerous statues on pedestals,"
188,"He seems to hold converse with me-to lead me into strange places.'' Exactly the case with the t'other,'' whispered tha Tinker to the Sandman.","He seems to hold converse with me—to lead me into strange places.” “Exactly the case with the t’other,” whispered the Tinker to the Sandman.","He seems to hold converse with me-to lead me into strange places.'' Exactly the case with the t'other,'' whispered tha Tinker to the Sandman."
189,"His great wish was to see his dsuglter nnited to the husband of her choice, and in the hope of smoothing the way, ho let Auriol understand that le should give her a considerable marriage-portion.","His great wish was to see his daughter united to the husband of her choice, and in the hope of smoothing the way, he let Auriol understand that he should give her a considerable marriage portion.","His great wish was to see his daughter united to the husband of her choice, and in the hope of smoothing the way, ho let Auriol understand that le should give her a considerable marriage-portion."
190,"'And now,'' said tha Sandman, nnable to control his cur. xiosity longer, and taking ont his pocket-book, ` well see what fortun' has gien us.'' So saying, he unclasped the poeket-book, while the Tinker bent over him in eager curiosity.","“And now,” said the Sandman, unable to control his curiosity longer, and taking out his pocket-book, “we’ll see what fortun’ has given us.” So saying, he unclasped the pocket-book, while the Tinker bent over him in eager curiosity.","'And now,'' said tha Sandman, unable to control his cur. pilosity longer, and taking ont his pocket-book, ` well see what fortun' has given us.'' So saying, he unclasped the poeket-book, while the Tinker bent over him in eager curiosity."
191,"Worn out, at lenigth, with doubt and bewildering speculations, the miserable captie was beset with the desire to put an end to his torments by suicide, and he determined to execute his fell purpose without delay.","Worn out, at length, with doubt and bewildering speculations, the miserable captive was beset with the desire to put an end to his torments by suicide, and he determined to execute his fell purpose without delay.","Worn out, at length, with doubt and bewildering speculations, the miserable captive was beset with the desire to put an end to his torments by suicide, and he determined to execute his fell purpose without delay."
192,"TiIl then, farewell.'' And as the words were uttered, he passed through the door.","Till then, farewell.” And as the words were uttered, he passed through the door.","TiIl then, farewell.'' And as the words were uttered, he passed through the door."
193,"This fellow had high cheekbones, a long aquiline nose, and a coarse mouth and chin, in which the animal greatly predominated.","This fellow had high cheek-bones, a long aquiline nose, and a coarse mouth and chin, in which the animal greatly predominated.","This fellow had high cheekbones, a long aquiline nose, and a coarse mouth and chin, in which the animal greatly predominated."
194,"And the thing was so unnecessnry, for I wonld gladly hne giren her to tho young man.","“And the thing was so unnecessary, for I would gladly have given her to the young man.","And the thing was so unnecessary, for I wonld gladly have siren her to tho young man."
195,"The room might be the retreat of a man of science, or it might be the repository of s juggler.","The room might be the retreat of a man of science, or it might be the repository of a juggler.","The room might be the retreat of a man of science, or it might be the repository of s juggler."
196,"And yet, is ita fable?","And yet, is it a fable?","And yet, is it fable?"
197,I heard Doctor Lamb call him so.,“I heard Doctor Lamb call him so.,I heard Doctor Lamb call him so.
198,"Trigge's art; and, above these, are several specimens of legal wigs.",Trigge’s art; and above these are several specimens of legal wigs.,"Trigge's art; and, above these, are several specimens of legal wigs."
199,"t Miss Bailey, unfortinte Miss Bailoy 1-Fol-deriddle-tol-ol-lol-unfortinate Miss Bailcyl'' sang the Tinker."," Miss Bailey, unfortinate Miss Bailey!—Fol-de-riddle-tol-ol-lol—unfortinate Miss Bailey!” sang the Tinker.","t Miss Bailey, unfortunate Miss Bailoy 1-Fol-deriddle-tol-ol-lol-unfortinate Miss Bailcyl'' sang the Tinker."
200,"e It'a him I'' hiserel tho taller and darkoer of the two to his companion-`` it's the young man ve've been lookin' for-Auriol Darcy.'' It seems lilce him,'' said the other, edging round the pillar as far as he conld withont exposure.","“It’s him!” whispered the taller and darker of the two to his companion—“it’s the young man ve’ve been lookin’ for—Auriol Darcy.” “It seems like him,” said the other, edging round the pillar as far as he could without exposure.","e It'a him I'' whispered tho taller and darker of the two to his companion-`` it's the young man ve've been lookin' for-Auriol Darcy.'' It seems like him,'' said the other, edging round the pillar as far as he conld withont exposure."
201,"Tho shorter rffian carried a mallet upon his sholder, and his companion concealed something beneath the breast of his cost, which nfterwards proved to be a dark lantern.","The shorter ruffian carried a mallet upon his shoulder, and his companion concealed something beneath the breast of his coat, which afterwards proved to be a dark lantern.","Tho shorter ruffian carried a mallet upon his shoulder, and his companion concealed something beneath the breast of his cost, which afterwards proved to be a dark lantern."
202,"Tho powerful stimulant revived her, but, at the same time, produced a strange excitement, against which she straggled with all her power.","The powerful stimulant revived her, but, at the same time, produced a strange excitement, against which she struggled with all her power.","Tho powerful stimulant revived her, but, at the same time, produced a strange excitement, against which she straggled with all her power."
203,olloaI,“Holloa!,olloaI
204,"Rougemont next took up the lamp, with the evident intention of quit 158 ting the room, seeing which, Reeks hastily retreated to an udjoining chamber, the door of which was fortunately open, nnd hsd ecarcely gained its shelter when the fonr mysterions personages appeared on tho gallery.","Rougemont next took up the lamp, with the evident intention of quitting the room, seeing which, Reeks hastily retreated to an adjoining chamber, the door of which was fortunately open, and had scarcely gained its shelter when the four mysterious personages appeared on the gallery.","Rougemont next took up the lamp, with the evident intention of quit 158 ting the room, seeing which, Reeks hastily retreated to an adjoining chamber, the door of which was fortunately open, nnd his scarcely gained its shelter when the four mysterious personage appeared on tho gallery."
205,"Finish me at onco -Oh' And overeome by anguish, he sank back again.","Finish me at once—Oh!” And overcome by anguish, he sank back again.","Finish me at onco -Oh' And overcome by anguish, he sank back again."
206," ]---18 ARIOL. t"" Ay, ay, I see,'' replied the other.","” “Ay, ay, I see,” replied the other."," ]---18 ARIOL. t"" Ay, ay, I see,'' replied the other."
207,"Wealth is of no value to me. without Edith.'' Withont wealth you could not obtain her,'' replied tho voice.","Wealth is of no value to me without Edith.” “Without wealth you could not obtain her,” replied the voice.","Wealth is of no value to me. without Edith.'' Withont wealth you could not obtain her,'' replied tho voice."
208,I have just quitted him.,I have just quitted him.,I have just quitted him.
209,And now let us change the subject.'' Mr.,And now let us change the subject.” Mr.,And now let us change the subject.'' Mr.
210,"Io a good mind to chuck tho little 'un off the post, and sct Tartar at him.","“I’ve a good mind to chuck the little ’un off the post, and set Tartar at him.","Io a good mind to chuck tho little 'un off the post, and ect Tartar at him."
211,And he sunffered himself to be led in the direction proposed.,And he suffered himself to be led in the direction proposed.,And he suffered himself to be led in the direction proposed.
212,I will attend to him anon.,I will attend to him anon.,I will attend to him anon.
213,"It is needless to particulariso the street, for eerybody kuows the shop; that is to say, erery member of the legal profession, ligh or low.","It is needless to particularise the street, for everybody knows the shop; that is to say, every member of the legal profession, high or low.","It is needless to particularise the street, for everybody knows the shop; that is to say, every member of the legal profession, high or low."
214,"e That I am what I seem,'' replied Auriol.","“That I am what I seem,” replied Auriol.","e That I am what I seem,'' replied Auriol."
215,Rougemont gazed at them in transports of joy.,Rougemont gazed at them in transports of joy.,Rougemont gazed at them in transports of joy.
216,"`I vish I wos fairly ont o' this cursed place I'' te You houldn't have entured into the lion's den,'' said Old Parr, in a tannting tone.","“I vish I wos fairly out o’ this cursed place!” “You shouldn’t have ventured into the lion’s den,” said Old Parr, in a taunting tone.","`I fish I wos fairly ont o' this cursed place I'' te You houldn't have ventured into the lion's den,'' said Old Parr, in a taunting tone."
217,"` Here, lazy-bones,'' he added, rousing the sleeping youth, `' go an' tell Old Parr ve ants his company orer a glass o' rum-an'-ater,'' THE EAND AND TE CL0AK. II. A vnros barking from Mr.","“Here, lazy-bones,” he added, rousing the sleeping youth, “go an’ tell Old Parr ve vants his company over a glass o’ rum-an’-vater.” Chapter 3 THE HAND AND the CLoAK A furious barking from Mr.","` Here, lazy-bones,'' he added, rousing the sleeping youth, `' go an' tell Old Parr ve ants his company over a glass o' rum-an'-ater,'' THE EAND AND TE CL0AK. II. A eros barking from Mr."
218,"A ladder was planted at one side, and by this Mr.","A ladder was planted at one side, and by this Mr.","A ladder was planted at one side, and by this Mr."
219,"I will try mine,'' said Paston.","“I will try mine,” said Paston.","I will try mine,'' said Paston."
220,":Do you apply on your own account, or on behalf of a fiend 7' asked ITrigge.","“Do you apply on your own account, or on behalf of a friend?” asked Trigge.",":Do you apply on your own account, or on behalf of a fiend 7' asked ITrigge."
221,Drink :' he said.,“Drink!” he said.,Drink :' he said.
222,'`ITaka a last look of her.,“Take a last look of her.,'`ITaka a last look of her.
223,oh Lord' groned Ginger; Il1 repent.,O Lord!” groaned Ginger; “I’ll repent.,oh Lord' ironed Ginger; Il1 repent.
224,Tho Thames itself is nnlike th Thaes of old.,The Thames itself is unlike the Thames of old.,Tho Thames itself is like th Thaes of old.
225,A fiendish sile sat upon his countenance.,A fiendish smile sat upon his countenance.,A fiendish smile sat upon his countenance.
226,"There's a Mounseer Coqquilu as comes oer to buy dogs, and ve takes 'em to him at a housenear Billinsgit market.'' e Then you're alvays sure o' a ready markot somehow,'' obsered the Sandman.","There’s a Mounseer Coqquilu as comes over to buy dogs, and ve takes ’em to him at a house near Billinsgit market.” “Then you’re alvays sure o’ a ready market somehow,” observed the Sandman.","There's a Mounseer Coqquilu as comes oer to buy dogs, and ve takes 'em to him at a housecoat Billinsgit market.'' e Then you're always sure o' a ready market somehow,'' observed the Sandman."
227,"Thorneyeroft, ``but go and get me some brandy.","Thorneycroft, “but go and get me some brandy.","Thorneyeroft, ``but go and get me some brandy."
228,"Here thcy kept on the side of the street most in shadow, and crosscd ocr whcneer they came to a lamp.","Here they kept on the side of the street most in shadow, and crossed over whenever they came to a lamp.","Here they kept on the side of the street most in shadow, and crossed oca sneer they came to a lamp."
229,"Now follow me.'' And taking up the torch, he lod the way out of tha chamber.","Now follow me.” And taking up the torch, he led the way out of the chamber.","Now follow me.'' And taking up the torch, he lod the way out of tha chamber."
230,Ebba gazed into the abyss with indescribable terror.,Ebba gazed into the abyss with indescribable terror.,Ebba gazed into the abyss with indescribable terror.
231,"In the eening the loers met as usual, and separated with tha full persuasion, on Edith's pasrt at least, that the next day wonld make them happy.","In the evening the lovers met as usual, and separated with the full persuasion, on Edith’s part at least, that the next day would make them happy.","In the evening the doers met as usual, and separated with tha full persuasion, on Edith's part at least, that the next day wonld make them happy."
232,"Anriol looked at him earnestly, but could not catch another glance, so intently was the old man occupied.","Auriol looked at him earnestly, but could not catch another glance, so intently was the old man occupied.","Anriol looked at him earnestly, but could not catch another glance, so intently was the old man occupied."
233,"Ebbal'' exclaimed Auriol, in a voice of despsir.","“Ebba!” exclaimed Auriol, in a voice of despair.","Ebbal'' exclaimed Auriol, in a voice of despair."
234,Blocked up l'' exclaimed Thomneyeroft.,“Blocked up!” exclaimed Thorneycroft.,Blocked up l'' exclaimed Thomneyeroft.
235,"Perfectly,'' replied the little man.","“Perfectly,” replied the little man.","Perfectly,'' replied the little man."
236,` Auriol hss brought you to me.'' It is flseI' cried Auriol.,“Auriol has brought you to me.” “It is false!” cried Auriol.,` Auriol has brought you to me.'' It is flseI' cried Auriol.
237,Rougemont is gone 7'' eried Auriol.,Rougemont is gone?” cried Auriol.,Rougemont is gone 7'' eried Auriol.
238,"Acquainted with the intricacies of the place, the Tinker guided his companion through a hole into an adjoining rault, whenee they scaled a wall, got into the next house, and passing through an open window, made good their retreat, while the watchmen were vainly searching for them under every bulk and piece of iron.","Acquainted with the intricacies of the place, the Tinker guided his companion through a hole into an adjoining vault, whence they scaled a wall, got into the next house, and passing through an open window, made good their retreat, while the watchmen were vainly searching for them under every bulk and piece of iron.","Acquainted with the intricacies of the place, the Tinker guided his companion through a hole into an adjoining house, where they scaled a wall, got into the next house, and passing through an open window, made good their retreat, while the watchmen were vainly searching for them under every bulk and piece of iron."
239,"4eWho's that you're got with you ?'' `:Vy, who should it be bnt the 8andmsn,'' rejoined the other, gruffly.","“Who’s that you’ve got with you?” “Vy, who should it be but the Sandman,” rejoined the other gruffly.","4eWho's that you're got with you ?'' `:Vy, who should it be bnt the 8andmsn,'' rejoined the other, gruffly."
240,"Auriol's thoughts were sombre as the weather and the honr, and he fell intoa deep fit of abstraction, from which he wae roused by ahand laid on his shoulder.","Auriol’s thoughts were sombre as the weather and the hour, and he fell into a deep fit of abstraction, from which he was roused by a hand laid on his shoulder.","Auriol's thoughts were sombre as the weather and the honk, and he fell into deep fit of abstraction, from which he was roused by hand laid on his shoulder."
241,t Yon must also consent to have a bandage passed oer yonr eyes when you get into the coach.'' Anything more 7'' asked the iron-merchant.,“You must also consent to have a bandage passed over your eyes when you get into the coach.” “Anything more?” asked the iron-merchant.,t Yon must also consent to have a bandage passed oer yonr eyes when you get into the coach.'' Anything more 7'' asked the iron-merchant.
242,Tuffuell Trigge.,Tuffnell Trigge.,Tuffuell Trigge.
243,"eYon are Satan in the form of the man lI once knew,'' eried Auriol.","“You are Satan in the form of the man I once knew,” cried Auriol.","you are Satan in the form of the man lI once knew,'' eried Auriol."
244,"MIr. Trigge bored to the sour-looking gentleman, and appeared rendy to enter into conversation with him, bt no noticoc being taken of his ndvances, ho went and talkel to lis magpie.","Mr. Trigge bowed to the sour-looking gentleman, and appeared ready to enter into conversation with him, but no notice being taken of his advances, he went and talked to his magpie.","MIr. Trigge bored to the sour-looking gentleman, and appeared ready to enter into conversation with him, but no notice being taken of his advances, ho went and talked to lis magpie."
245,"Thorneycroft, opening his eyes.","Thorneycroft, opening his eyes.","Thorneycroft, opening his eyes."
246,"A few minutes' rapid walking brought him t th eastern extremity of the Serpentine, and adancing close to the edge of the embankment, he gazed at the waters beneath his feet.","A few minutes’ rapid walking brought him to the eastern extremity of the Serpentine, and advancing close to the edge of the embankment, he gazed at the waters beneath his feet.","A few minutes' rapid walking brought him t th eastern extremity of the Serpentine, and standing close to the edge of the embankment, he gazed at the waters beneath his feet."
247,"But why did we come hither 7'' As he spoke, there was a sound like mocking laughter, but whence arising it was difficult to say.","“But why did we come hither?” As he spoke, there was a sound like mocking laughter, but whence arising it was difficult to say.","But why did we come hither 7'' As he spoke, there was a sound like mocking laughter, but whence arising it was difficult to say."
248,Bnt we can be married before you gof'' cried Auriol.,“But we can be married before you go?” cried Auriol.,Bnt we can be married before you go'' cried Auriol.
249,"Who that has passed BSaint Giles's, on the way to the city, or coming from it, but has caught a glimpse, through some narrow opening, of its squnlid habitations, and wretched and ruffianly occupantsl","Who that has passed Saint Giles’s, on the way to the city, or coming from it, but has caught a glimpse, through some narrow opening, of its squalid habitations, and wretched and ruffianly occupants!","Who that has passed BSaint Giles's, on the way to the city, or coming from it, but has caught a glimpse, through some narrow opening, of its squalid habitations, and wretched and ruffianly occupants"
